id;region;year;type;conversion_factor_sec_elec;conversion_factor_sec_diesel;conversion_factor_sec_hydrogen;conversion_factor_exo_rail_long_pkm;conversion_factor_exo_rail_short_pkm;capacity_tra_inst_0;optional_limitations;cost_fix_tra;cost_var_tra;lifetime;mileage;occupancy_rate;wacc;ef_sec_diesel_emi_co2_f_tra;ef_sec_ethanol_emi_co2_f_tra;ef_sec_diesel_emi_ch4_f_tra;ef_sec_diesel_emi_n2o_f_tra;bandwidth_type;version;method;source;comment
35;DE;2035;tra_rail_fcev_pass_short_hydrogen_0;;;1;;1,83;22;;63000;;30;26000;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
36;DE;2040;tra_rail_fcev_pass_short_hydrogen_0;;;1;;1,83;15;;63000;;30;26000;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
37;DE;2045;tra_rail_fcev_pass_short_hydrogen_0;;;1;;1,83;8;;63000;;30;26000;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
38;DE;2050;tra_rail_fcev_pass_short_hydrogen_0;;;1;;1,83;1;;63000;;30;26000;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
39;DE;2060;tra_rail_fcev_pass_short_hydrogen_0;;;1;;1,83;0;;63000;;30;26000;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
40;DE;2070;tra_rail_fcev_pass_short_hydrogen_0;;;1;;1,83;0;;63000;;30;26000;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
41;DE;2021;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;5;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
42;DE;2024;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;5;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
43;DE;2027;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;4;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
44;DE;2030;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;4;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
45;DE;2035;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;3;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
46;DE;2040;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;2;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
47;DE;2045;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;1;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
48;DE;2050;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;0;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
49;DE;2060;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;0;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
50;DE;2070;tra_rail_hyb_pass_short_diesel_0;0,35;0,65;;;1,89;0;;38000;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
51;DE;2021;tra_rail_bemu_pass_short_0;1;;;;2,68;86;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
52;DE;2024;tra_rail_bemu_pass_short_0;1;;;;2,68;77;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
53;DE;2027;tra_rail_bemu_pass_short_0;1;;;;2,68;68;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
54;DE;2030;tra_rail_bemu_pass_short_0;1;;;;2,68;59;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
55;DE;2035;tra_rail_bemu_pass_short_0;1;;;;2,68;45;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
56;DE;2040;tra_rail_bemu_pass_short_0;1;;;;2,68;31;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
57;DE;2045;tra_rail_bemu_pass_short_0;1;;;;2,68;17;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
58;DE;2050;tra_rail_bemu_pass_short_0;1;;;;2,68;3;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
59;DE;2060;tra_rail_bemu_pass_short_0;1;;;;2,68;0;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
60;DE;2070;tra_rail_bemu_pass_short_0;1;;;;2,68;0;;38000;;30;45538;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
61;DE;2021;tra_rail_oev_pass_short_0;1;;;;2,27;10307;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
62;DE;2024;tra_rail_oev_pass_short_0;1;;;;2,27;9276;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
63;DE;2027;tra_rail_oev_pass_short_0;1;;;;2,27;8245;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
64;DE;2030;tra_rail_oev_pass_short_0;1;;;;2,27;7214;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
65;DE;2035;tra_rail_oev_pass_short_0;1;;;;2,27;5496;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
66;DE;2040;tra_rail_oev_pass_short_0;1;;;;2,27;3778;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
67;DE;2045;tra_rail_oev_pass_short_0;1;;;;2,27;2060;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
68;DE;2050;tra_rail_oev_pass_short_0;1;;;;2,27;342;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
