id;region;year;type;conversion_factor_sec_hydrogen;conversion_factor_sec_elec;conversion_factor_sec_lng;conversion_factor_sec_methanol;conversion_factor_sec_ethanol;conversion_factor_sec_ammonia;conversion_factor_sec_diesel;conversion_factor_exo_water_tkm;capacity_tra_inst_0;optional_limitations;cost_fix_tra;cost_inv_tra;cost_var_tra;lifetime;market_share_range;mileage;tonnage;wacc;ef_sec_diesel_emi_co2_f_tra;ef_sec_diesel_emi_ch4_f_tra;ef_sec_diesel_emi_n2o_f_tra;ef_sec_lng_emi_co2_f_tra;ef_sec_lng_emi_ch4_f_tra;ef_sec_lng_emi_n2o_f_tra;ef_sec_methanol_emi_co2_f_tra;bandwidth_type;version;method;source;comment
1;DE;2021;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
2;DE;2024;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
3;DE;2027;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
4;DE;2030;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
5;DE;2035;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0.01;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
6;DE;2040;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0.01;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
7;DE;2045;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0.02;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
8;DE;2050;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0.02;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
9;DE;2060;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0.03;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
10;DE;2070;tra_water_fcev_frei_hydrogen_1;1;;;;;;;1.17;;;58.464;4800;417.6;50;0.03;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
11;DE;2021;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
12;DE;2024;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
13;DE;2027;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
14;DE;2030;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
15;DE;2035;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0.01;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
16;DE;2040;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0.01;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
17;DE;2045;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0.02;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
18;DE;2050;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0.02;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
19;DE;2060;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0.03;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
20;DE;2070;tra_water_ice_frei_lng_1;;;1;;;;;13.79;;;97.44;8000;696;50;0.03;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
21;DE;2021;tra_water_ice_frei_methanol_1;;;;1;;;;10.05;;;49.816;4090;355.83;50;0;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
